;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89
107;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;HMDB0012638;HMDB0035109;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
108;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;HMDB0012782;HMDB0244888;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
109;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;HMDB0061720;HMDB0246655;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
110;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;HMDB0059990;HMDB0030293;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
111;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;HMDB0015189;HMDB0252301;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
112;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;HMDB0244472;HMDB0258490;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
113;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;HMDB0256983;HMDB0061643;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
114;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;HMDB0061832;HMDB0061689;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
115;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;HMDB0254887;HMDB0253565;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
116;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;HMDB0249138;HMDB0247712;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
117;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;HMDB0258189;HMDB0254695;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
